Cores,Frequency,L2cache,FSB,Mult.,Voltage,TDP,Socket,Partnumber(s),GPUfrequency,I/O bus,Memory,Burst,GPUmodel,Connectivity,SDP,Model Number,Front Side Bus,Multiplier,Mult,L2 Cache,Turbo,L3cache,Turbo Boostall-core/2.0(/max. 3.0),Atom (ULV),Atom (ULV).1,Unnamed: 2,Feature size,Unnamed: 4,x86,x86.1,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Base / Boost / TVB Clocks (GHz),GPU EU,GPU Max freq,Price,Model number,Clock speed,Cache,Cache.1,FSB speed,Threadsper core,TDP (W),Cache.2,Price (USD),Clock speed.1,QuickPath,Freq. (GHz),FSB (MHz),Voltage (V),Freq.,Power,Power.1,Unnamed: 17,Unnamed: 18,Unnamed: 19,Freq. (MHz),L1cache,Model numberClock speed,sSpec number,Front-side bus,Clock multiplier,Voltage range,Part number(s),Core stepping,64-bit,FrqGHz,FSBMT/s,VT-x,P-core (performance),P-core (performance).1,P-core (performance).2,P-core (performance).3,E-core (efficiency),E-core (efficiency).1,E-core (efficiency).2,E-core (efficiency).3
2.0,1.5,1.024,,,0.8–1.175 V,8.0,50.0,AU80610006291AA,200 MHz,39.0,1 × DDR2-8001 × DDR3-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.67,1.024,,,0.8–1.175 V,8.0,50.0,AU80610006243AA,200 MHz,39.0,1 × DDR2-8001 × DDR3-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.6,0.512,,,,66.03544956493715,50.0,DF8064101064902,400 MHz,39.0,1 × DDR3-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.6,1.024,,,0.91–1.21 V,3.0,50.0,DF8064101050706,400 MHz,39.0,1 × DDR3-800,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.87,1.024,,,0.91–1.21 V,6.0,50.0,DF8064101050503,640 MHz,39.0,1 × DDR3-1066,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.8,0.512,400 MT/s,8×,0.712–1.1 V,0.0,13.0,AC80566UC800DE,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.1,0.512,400 MT/s,11×,0.75–1.1 V,2.0,13.0,AC80566UC005DE,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.1,0.512,400 MT/s,11×,0.8–1.1 V,2.0,12.0,CH80566EC005DW,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.1,0.512,400 MT/s,11×,0.75–1.1 V,2.0,12.0,CH80566EC005DT,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.2,0.512,400 MT/s,12×,0.712–1 V,1.0,13.0,AC80566UC009DV,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
